,Unnamed: 0,name,type,IMDb,originalName,foreignName,nickname,romanPinyin,notableWork,debutWork,activeTime,debutTime,birthPlace,deathPlace,award,language,website,almaMater,education,religion,nationality,ethnicity,agency,hasSibling,hasSpouse,hasParent,hasChild,works
12954,1157590,['迈克·尼科尔斯'],['director'],['0001566'],['Michael Igor Peschkowsky'],[],[],[],[],[],[],[],{},"{'country': 'USA', 'state': 'New York', 'city': 'New York'}",['AFI终身成就奖'],['英语'],[],[],[],[],{},['犹太人'],[],[],['Patricia ScottMargo CallasAnnabel Davis-Goff黛安·索耶'],[],['黛西·尼科尔斯马克斯·尼科尔斯珍妮·尼科尔斯'],[]
12955,1158671,['麦兆辉'],['director'],['0490487'],[],['Alan Mak'],[],['Mak Siu-Fai'],[],[],['1990年-2021年'],['1991年'],{},{},[],[],[],['圣嘉禄学校香港邓镜波书院威灵顿英文中学地利亚修女纪念学校（太古城）'],['香港演艺学院戏剧学院表演系深造文凭'],[],{},[],[],[],[],[],['麦子翘'],[]
12956,1159984,['Template:谢晋'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12957,1164034,['何群'],['director'],[],[],[],[],[],[],[],[],[],"{'country': 'CHN', 'state': '江苏省', 'city': '南京市'}","{'country': 'CHN', 'state': '北京市', 'city': '北京市'}",[],['汉语'],[],[],['大学本科'],[],{},[],[],[],[],[],[],[]
12958,1169390,['高希希'],['director'],[],[],[],[],[],[],[],['1998年-2021年'],[],"{'country': 'CHN', 'state': '江西省', 'city': '南昌市'}",{},[],[],[],[],['北京电影学院导演系'],[],"{'country': 'CHN', 'state': '江西省', 'city': '赣州市'}",[],['希世纪影视'],[],['白玉'],[],[],[]
12959,1172391,['布里兰特·曼多萨'],['director'],[],[],[],[],[],[],[],['2005年-2021年'],[],"{'country': 'PHL', 'state': 'Central Luzon', 'city': 'San Fernando'}",{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12960,1177196,['Template:冯小刚'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12961,1177223,['Template:赵宝刚'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12962,134783,['吕克·贝松'],['director'],[],[],[],[],[],[],[],['1981年-2021年'],[],"{'country': 'FRA', 'state': 'Île-de-France', 'city': 'Paris'}",{},[],['法语、英语'],[],[],[],[],{},[],[],[],[],[],['Juliette Besson Shanna Besson Talia Besson Satine Besson Mao Besson '],[]
12963,135268,['扬·德邦特'],['director'],[],[],[],[],[],[],[],['1965年-2021年'],[],{},{},[],[],[],[],[],[],{},[],[],[],['Monique van de VenTrish Reeves'],[],[],[]
12964,1193626,['沈炯来'],['director'],[],[],[],[],[],[],[],[],[],"{'country': 'KOR', 'state': '충청북도', 'city': '옥천군'}",{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12965,1196468,['陈鲤庭'],['director'],[],[],[],[],[],"['《遥远的爱》', '《丽人行》', '《幸福狂想曲》']",[],['1930年-2013年'],[],"{'country': 'CHN', 'state': '上海市', 'city': '上海市'}","{'country': 'CHN', 'state': '上海市', 'city': '上海市'}",[],[],[],[],['上海大夏大学高等师范系'],[],"{'country': 'CHN', 'state': '上海市', 'city': '上海市'}",[],[],[],[],[],[],"['《遥远的爱》', '《丽人行》', '《幸福狂想曲》']"
12966,1203591,['Category:女性电影导演'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12967,1217638,['王全安'],['director'],[],[],"[""Wang Quan'an""]",[],[],[],[],[],[],"{'country': 'CHN', 'state': '陕西省', 'city': '延安市'}",{},[],[],[],[],['北京电影学院表演系'],[],{},['汉族'],[],[],['张雨绮'],[],[],[]
12968,138076,['今村昌平'],['director'],[],[],[],[],[],[],[],[],[],"{'country': 'TWN', 'state': '台北市', 'city': '中山區'}",{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12969,1220230,['李仁港'],['director'],['0496752'],[],['Daniel Lee Yan-kong'],[],[],[],[],['1984年-2021年'],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12970,1221088,['堤幸彦'],['director'],['1066739'],[],['堤 幸彦'],[],['Tsutsumi Yukihiko'],[],[],[],[],{},{},[],[],[],[],['法政大学社会学部（肄业）'],[],{},[],[],[],[],[],[],[]
12971,1222927,['罗启锐'],['director'],['0492288'],[],['Alex Law'],[],['Law Kai-Yui'],[],[],[],[],{},{},[],[],[],[],['香港大学英文系﹑中文系纽约大学电影系硕士'],[],{},[],[],[],['张婉婷'],[],[],[]
12972,1231031,['朱继生'],['director'],['0160839'],[],['Joe Chu'],[],['Chu Kai-Sang'],[],[],[],[],"{'country': 'HKG', 'state': '香港', 'city': '中環'}",{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12973,1240633,['山姆·曼德斯'],['director'],['0005222'],[],['Sam Mendes'],[],[],[],[],['1993年-2021年'],[],"{'country': 'GBR', 'state': 'England', 'city': 'Reading'}",{},[],[],[],[],[],[],{},[],[],[],['凯特·温斯莱特'],[],[],[]
12974,1242285,['菲力普·考夫曼'],['director'],[],[],['Philip Kaufman'],[],[],[],[],['1965年-2021年'],[],{},{},"['Award', 'for', 'Best', 'NSFC', '土星奖最佳导演1978', 'Director1988']",[],[],[],[],[],{},[],[],[],['Rose Kaufman'],[],[],[]
12975,1242575,['菲立普德库弗列'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12976,1249672,['麦克·洛逊'],['director'],[],[],[],[],[],[],[],[],[],{},"{'country': 'GBR', 'state': 'England', 'city': 'Hinckley and Bosworth'}",[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12977,1250250,['吴思远'],['director'],[],[],[],[],[],[],[],[],[],"{'country': 'CHN', 'state': '上海市', 'city': '上海市'}",{},['终身成就奖'],[],[],[],[],[],{},[],[],[],[],[],[],[]
12978,1255582,['李沧东'],['director'],[],[],['이창동'],[],['Lee Chang-dong'],[],[],[],['1993年'],"{'country': 'CHN', 'state': '吉林省', 'city': '白山市'}",{},['奖部份仅列出主要奖'],['韩语'],[],[],['庆北大学（韩）国语教育系学士'],[],{},[],[],[],['李贞兰'],[],[],[]
12979,1267714,['李察·唐纳'],['director'],[],[],[],[],[],[],[],[],[],"{'country': 'USA', 'state': 'New York', 'city': 'New York'}",{},[],[],[],[],[],[],{},[],[],[],['Lauren Shuler Donner'],[],[],[]
12980,1269757,['林诣彬'],['director'],['0510912'],[],['Justin Lin'],[],[],[],[],['1997年-2021年'],[],"{'country': 'TWN', 'state': '台北市', 'city': '信義區'}",{},[],[],[],['加州大学洛杉矶分校电影学院导演系'],[],[],"{'country': 'USA', 'state': 'Kansas', 'city': 'Stockton'}",[],[],[],[],[],[],[]
12981,1270419,['李孟熙'],['director'],[],[],['Quentin Lee'],[],[],[],[],[],[],{},{},[],[],[],[],[],[],"{'country': 'HKG', 'state': '香港', 'city': '中環'}",[],[],[],[],[],[],[]
12982,1273903,['李察·寇蒂斯'],['director'],[],[],[],[],[],['《见下》'],[],['1979年-2021年'],[],"{'country': 'GBR', 'state': 'England', 'city': 'Derby'}",{},[],['英语'],[],['诺丁汉郡学校哈罗公学牛津大学基督堂学院'],['英语语言和文学'],[],{},[],[],[],['艾玛·弗洛伊德'],[],[],['《见下》']
12983,1276432,['法兰索瓦·欧容'],['director'],[],[],[],[],[],[],[],['1988年-2021年'],[],"{'country': 'FRA', 'state': 'Île-de-France', 'city': 'Paris'}",{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12984,1276828,['胜利大逃亡'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],['英语'],[],[],[],[],"{'country': 'ARG', 'state': 'La Pampa', 'city': ''}",[],[],[],[],[],[],[]
12985,1277127,['阿比查邦·魏拉希沙可'],['director'],[],[],[],[],[],[],[],['1993年-2021年'],[],"{'country': 'THA', 'state': 'จังหวัดกรุงเทพมหานคร', 'city': 'แขวงสำราญราษฎร์'}",{},"['坎城影展评审团奖', '坎城影展金棕榈奖', '信巴通奖', '坎城影展一种注目大奖']",[],['http://www.kickthemachine.com'],[],[],[],"{'country': 'THA', 'state': 'จังหวัดกรุงเทพมหานคร', 'city': 'แขวงสำราญราษฎร์'}",[],[],[],[],[],[],[]
12986,1287982,['克里斯·哥伦布'],['director'],[],[],[],[],[],[],[],['1984年-2021年'],[],"{'country': 'USA', 'state': 'Pennsylvania', 'city': 'Doylestown'}",{},[],[],[],[],[],[],{},[],[],[],['Monica Devereux'],[],[],[]
12987,1290761,['Template:彭浩翔'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12988,147427,['斯坦利·库布里克'],['director'],[],[],[],[],[],[],[],['1951年-1999年'],[],"{'country': 'USA', 'state': 'New York', 'city': 'Bronx'}","{'country': 'AUS', 'state': 'New South Wales', 'city': 'St Albans'}",[],[],[],[],[],[],"{'country': 'USA', 'state': 'Kansas', 'city': 'Stockton'}",[],[],[],['托巴·埃塔·梅斯'],[],['嘉芙莲娜·寇比力克安雅·寇比力克薇薇安·寇比力克'],[]
12989,1293938,['大森美香'],['director'],[],[],['大森 美香'],[],['MIKA OOMORI'],"['《漂流教室》', '《》', '《叫他第一名》', '《午餐女王》']",['《美少女H》'],['1998年-2021年'],['1998年'],{},{},[],['日语'],[],[],['青山学院女子短期大学'],[],{},[],[],[],[],[],[],"['《漂流教室》', '《》', '《叫他第一名》', '《午餐女王》', '《美少女H》']"
12990,1295837,['易文'],['director'],['0947945'],['杨彦岐'],['Evan Yang'],[],[],"['《温柔乡》', '《金缕衣》', '《青春儿女》', '《空中小姐》', '《快乐天使》']",[],['1948年-1975年'],[],"{'country': 'CHN', 'state': '北京市', 'city': '北京市'}",{},[],[],[],['上海著名学'],['上海圣约翰大学文学系'],[],{},[],[],[],[],[],[],"['《温柔乡》', '《金缕衣》', '《青春儿女》', '《空中小姐》', '《快乐天使》']"
12991,1297529,['麦曦茵'],['director'],['2382406'],[],['Heiward MAK'],[],['Mak Hei-yan'],[],[],['2006年-2021年'],[],{},{},['香港电影金像奖'],[],[],[],[],[],{},[],[],[],[],[],[],[]
12992,1326503,['Category:美国纪录片导演'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
